Company Name,Industry,Symbol,Yahoo_tick
ACC Ltd.,Construction Materials,ACC,ACC.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,ADANITRANS.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,APOLLOHOSP.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,ASIANPAINT.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,AXISBANK.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,BAJAJHLDNG.NS
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,BANDHANBNK.NS
Bank of Baroda,Financial Services,BANKBARODA,BANKBARODA.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,BERGEPAINT.NS
Bharat Electronics Ltd.,Capital Goods,BEL,BEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,BHARTIARTL.NS
Biocon Ltd.,Healthcare,BIOCON,BIOCON.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,CHOLAFIN.NS
Cipla Ltd.,Healthcare,CIPLA,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,COLPAL.NS
DLF Ltd.,Realty,DLF,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,DABUR.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,DRREDDY.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EICHERMOT.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,NYKAA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,GAIL.NS
Gland Pharma Ltd.,Healthcare,GLAND,GLAND.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,GODREJCP.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,GRASIM.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,HCLTECH.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,HDFCAMC.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,HDFCLIFE.NS
Havells India Ltd.,Consumer Durables,HAVELLS,HAVELLS.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,HINDALCO.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,HAL.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,HINDUNILVR.NS
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,HDFC.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,ICICIPRULI.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,ITC.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,IOC.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,IRCTC.NS
Indus Towers Ltd.,Telecommunication,INDUSTOWER,INDUSTOWER.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,INDUSINDBK.NS
Info Edge (India) Ltd.,Consumer Services,NAUKRI,NAUKRI.NS
Infosys Ltd.,Information Technology,INFY,INFY.NS
InterGlobe Aviation Ltd.,Services,INDIGO,INDIGO.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,KOTAKBANK.NS
LTIMindtree Ltd.,Information Technology,LTIM,LTIM.NS
Larsen & Toubro Ltd.,Construction,LT,LT.NS
Life Insurance Corporation of India,Financial Services,LICI,LICI.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,M&M.NS
Marico Ltd.,Fast Moving Consumer Goods,MARICO,MARICO.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,MARUTI.NS
MphasiS Ltd.,Information Technology,MPHASIS,MPHASIS.NS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,MUTHOOTFIN.NS
NTPC Ltd.,Power,NTPC,NTPC.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,NESTLEIND.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,ONGC.NS
One 97 Communications Ltd.,Financial Services,PAYTM,PAYTM.NS
PI Industries Ltd.,Chemicals,PIIND,PIIND.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND,PIDILITIND.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,POWERGRID.NS
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,PGHH.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,RELIANCE.NS
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,SBICARD.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,SBILIFE.NS
SRF Ltd.,Chemicals,SRF,SRF.NS
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,MOTHERSON.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,SHREECEM.NS
Siemens Ltd.,Capital Goods,SIEMENS,SIEMENS.NS
State Bank of India,Financial Services,SBIN,SBIN.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,SUNPHARMA.NS
Tata Consultancy Services Ltd.,Information Technology,TCS,TCS.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,TATAMOTORS.NS
Tata Power Co. Ltd.,Power,TATAPOWER,TATAPOWER.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,TATASTEEL.NS
